,Pr13,Pr15,Pr14,Pi1,Pi2,Pr11,Pr12
1,,,,,,,
2,,,,,,,
3,,,,,,,
4,,,,,,,
5,,,,,,,
6,,,,,,,
7,,,,,,,
8,,,,,,,
9,,,,,,,
10,,,,,,,
11,,,,,,,
12,,,,,,,
13,,,,,,,
14,,,,,,,
15,,,,,,,
16,,,,,,,
17,,,,,,,
18,,,,,,,
19,,,,,,,
20,,,,,,,
21,,,,,,,
22,,,,,,,
23,,,,,,,
24,,,,,,,
25,,,,,,,
26,,,,,,,
27,,,,,,,
28,,,,,,,
29,,,,,,,
30,,,,,,,
31,,,,,,,
32,,,,,,,
33,,,,,,,
34,,,,,,,
35,,,,,,,
36,,,,,,,
37,,,,,,,
38,,,,,,,
39,,,,,,,
40,,,,,,,
41,,,,,,,
42,,,,,,,
43,,,,,,0,
44,,,,,,0,
45,,,,,,0,
46,,,,,,0,
47,,,,,,0,
48,,,,,,0,
49,,,,,,0,
50,,,,,,0,
51,,,,,,0,
52,,,,,,0,
53,,,,,,0,
54,,,,,,0,
55,,,,,,0,
56,,,,,,0,
57,,,,,,0,
58,,,,,,0,
59,,,,,,0,
60,,0,,,,0,
61,,0,,,,0,
62,,0,,,,0,
63,,1,,1,,1,
64,,0,,0,,0,
65,,0,,0,,0,
66,,0,0,0,,0,
67,,0,0,0,,0,
68,,0,0,0,,0,
69,,0,0,1,,0,
70,,0,0,0,,0,
71,,,,,,,
72,,,,,,,
73,,,,,,,
74,,,,,,,
75,,,,,,,
76,,,,,,,
77,,,,,,,
78,,,,,,,
79,,,,,,,
80,,,,,,,
81,,,,,,,
82,,,,,,,
83,,,,,,,
84,,,,,,,
85,,,,,,,
86,,,,,,,
87,,,,,,,
88,,,,,,,
89,,,,,,,
90,,,,,,,
91,,,,,,,
92,,,,,,,
93,,,,,,,
94,,,,,,,
95,,,,,,,
96,,,,,,,
97,,,,,,,
98,,,,,,,
99,,,,,,,
100,,,,,,,
